tag,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30
2,1.311245,21.204935,35.049554,1.492992,21.191042,35.438808,1.676911,21.172774,35.825713,1.862943,21.150138,36.210090,2.145831,21.108012,36.781512,2.384964,21.065438,37.252580,2.586458,20.918010,37.749777,2.781459,20.873913,38.119136,3.027677,20.812785,38.575651,3.276524,20.745023,39.026044
2,13.446786,48.082406,14.628043,16.360568,46.538520,15.796984,20.111157,43.966415,16.772816,23.324968,41.385033,17.220122,26.269741,38.713908,17.684380,28.439375,36.479649,18.407988,31.002500,33.766210,19.017084,33.766810,30.832320,19.248843,36.345985,27.839302,19.572779,37.493603,26.462646,19.629609
2,10.999349,39.519414,26.480121,12.803069,39.231622,27.140952,15.429642,38.463537,27.832249,18.201534,37.369208,28.135057,21.153353,36.033431,27.926154,23.818595,34.494852,27.564118,26.674339,32.694884,26.863172,29.421241,30.749304,26.029353,31.934486,28.829087,25.121235,34.895723,26.661159,23.600269
2,15.466673,47.563356,13.309254,18.714513,45.362323,15.049220,22.269173,42.392153,16.661859,25.402215,39.418257,17.884827,28.136876,36.586969,18.880305,30.427669,34.036861,19.705700,32.683069,31.458122,20.293730,35.078374,28.684650,20.605403,36.925319,26.310706,20.915330,38.712498,24.009159,20.895608
2,14.446050,48.136450,11.162233,16.664903,46.908749,11.910441,20.033870,44.559476,12.720895,23.631367,41.616570,13.680512,26.488069,39.043176,14.617073,28.753775,36.881471,15.207350,31.115124,34.530852,15.792314,33.459313,32.127425,16.171858,36.369804,29.080602,16.266560,39.355127,25.715080,16.480690
2,12.547132,41.699822,24.404124,15.179519,40.018088,26.162332,17.750819,37.903761,27.740037,20.709143,35.595286,28.704213,23.810666,33.306088,28.872082,27.474002,30.563592,28.342536,30.544144,28.097715,27.525765,33.599921,25.392165,26.495610,36.757295,22.484792,25.023927,39.667597,19.690642,23.231901
2,11.011520,42.668434,23.029150,15.286371,40.241679,25.888286,19.925057,36.940901,27.703919,24.047944,33.396452,28.575083,27.834902,29.164307,29.360708,31.685548,24.160502,29.594310,33.700075,21.528280,29.118054,34.228815,20.906022,28.880802,34.303377,20.817254,28.845643,34.303377,20.817254,28.845643
2,16.273002,46.352785,8.809358,19.239966,44.972996,11.296470,22.921093,42.229927,13.579876,27.210706,38.366004,14.761226,31.445612,34.227174,15.602285,35.194944,30.348372,16.125208,38.087877,27.185875,16.370037,39.729118,25.304686,16.398565,40.720066,24.044236,16.589638,42.489562,21.668294,16.712038
2,11.321862,43.512746,22.118807,11.932510,43.117983,22.693913,14.198203,41.703597,24.377476,17.289063,39.781814,25.794465,20.384645,37.442710,26.840986,24.796539,33.891178,27.362021,29.115316,30.128095,27.057600,32.619803,26.734972,26.437222,35.473862,23.740280,25.628228,37.838535,20.771571,24.856874
2,11.789103,36.732700,29.599992,13.913579,34.086992,32.522695,16.292849,30.776185,35.466698,18.102037,27.697008,37.675834,19.152850,24.654382,39.660167,20.230982,22.539867,40.513628,21.052493,20.427903,41.182954,21.685827,18.408235,41.591716,22.189220,16.748570,41.665722,22.816010,14.848821,41.364380
2,12.174559,48.695086,13.663233,15.149938,47.658186,13.715326,20.506319,44.216881,13.596963,24.966595,40.381701,13.133603,28.661894,36.765472,12.335627,32.170056,33.231200,11.908481,35.479988,29.696155,11.112992,38.588399,26.149408,10.067906,40.831857,23.400412,9.172008,42.560140,20.984172,8.190968
2,12.861018,44.511150,21.018404,15.273411,42.892053,22.710223,19.667746,39.876973,24.359758,25.153618,35.520766,25.052121,31.982190,29.369757,24.436559,36.790906,24.605459,23.141666,39.297784,21.170950,22.733751,40.772752,18.563713,22.432812,41.692384,16.399945,22.127100,42.316807,14.198500,21.720672
2,5.843010,30.231970,32.581260,7.953788,30.187540,34.480200,10.887765,29.931610,36.216375,13.645570,29.260725,37.267849,15.635799,28.614262,37.647657,17.485102,27.554240,38.049435,19.066557,26.347350,38.367588,20.347158,25.197832,38.563630,22.126075,23.644006,38.502224,23.662286,22.521398,38.052824
2,12.961749,48.218210,8.323487,14.875115,47.560477,9.497704,17.412385,46.232361,10.800673,20.132489,44.407885,12.060803,23.226863,41.963895,13.536053,26.288609,39.231457,14.419166,29.497714,36.177090,15.044943,32.838106,32.884493,15.099024,35.139173,30.578962,14.491151,38.560139,27.005768,13.532196
2,9.579655,39.291703,26.158165,12.371615,39.845974,26.431698,17.517192,39.055353,26.540619,24.369883,35.382563,26.021078,31.130830,29.562004,25.307456,35.605066,24.385563,24.922798,38.664967,19.392395,24.623405,39.839337,15.437178,24.465684,39.338843,12.128290,24.731025,38.318387,10.321055,25.081751
2,13.344252,44.445230,21.072712,13.826059,43.832754,21.816019,15.543545,42.240460,23.453831,19.179066,39.040789,25.713766,27.404567,31.032353,27.927146,33.566643,24.487162,27.284906,36.423822,20.996998,26.392968,37.593478,19.050359,26.025496,38.786694,16.884620,25.393567,39.992539,14.866940,24.338866
2,3.041508,23.508067,35.840265,3.858664,22.454118,38.144398,5.191892,21.317105,40.916393,6.583162,19.953856,43.471701,8.301979,18.817338,45.462398,9.806861,17.773069,46.684916,10.994175,17.122639,47.189706,12.322767,16.560321,47.356831,13.875453,15.717976,47.271578,15.548781,14.800653,46.754736
2,10.838328,47.975638,5.989079,11.089076,47.914426,6.070637,11.457658,47.992977,6.452907,12.225881,47.750909,6.693733,12.927521,47.533144,6.972201,13.277947,47.388991,7.073881,13.994444,47.111095,7.344630,14.279394,47.059317,7.563657,15.091431,46.640196,7.777741,15.730553,46.282394,7.937528
3,46.809291,15.075545,7.021249,35.761665,29.138150,10.405498,22.757417,41.939438,11.071390,16.410588,46.499384,9.374708,14.083170,47.538250,8.227306,13.706902,47.604469,7.902024,13.700158,47.570347,7.828521,13.700158,47.570347,7.828521,13.700158,47.570347,7.828521,13.700158,47.570347,7.828521
3,29.207956,10.991968,34.465229,28.110694,14.297519,36.419403,24.126166,20.293278,38.853818,19.453929,23.830545,40.101738,13.035329,27.639036,38.796900,8.820721,29.129441,36.107664,7.979465,28.887433,35.815908,6.939737,28.450040,35.451809,6.398000,28.048367,35.372977,6.398000,28.048367,35.372977
3,44.563019,16.658825,18.069910,42.998603,19.612658,18.412971,38.373677,26.008338,18.550427,32.615636,32.794982,17.057035,28.701713,36.863619,15.853632,25.974374,39.519598,14.482412,23.739872,41.480200,13.078059,22.115854,42.787220,12.241085,19.036941,45.063779,11.008071,16.627329,46.533900,9.892882
3,27.216832,7.037944,33.608358,24.434442,12.888303,39.720970,18.591512,24.474196,40.089891,10.930776,31.602597,34.565178,7.852386,33.988217,30.543162,6.560534,34.923232,28.510784,6.596935,35.024638,28.441618,6.596935,35.024638,28.441618,6.596935,35.024638,28.441618,6.596935,35.024638,28.441618
